season,game_id,week,is_home,opponent,league_team_count,points_scored,points_allowed,margin_of_victory,win,cum_points_for_sum,cum_points_against_sum,cum_margin_sum,cumulative_wins,cumulative_win_pct,cum_win_pct,cum_win_pct_rank_vs_league,cum_win_pct_z_vs_league,turnovers_committed,turnovers_forced,turnover_differential,cum_tov_diff,cum_tov_diff_per_game,cum_tov_diff_per_game_rank_vs_league,cum_tov_diff_per_game_z_vs_league,total_yards_gained,total_yards_allowed,cum_yards_gained_sum,cum_yards_allowed_sum,cum_yards_gained_per_game,cum_yards_allowed_per_game,cum_yards_gained_per_game_rank_vs_league,cum_yards_gained_per_game_z_vs_league,cum_yards_allowed_per_game_rank_vs_league,cum_yards_allowed_per_game_z_vs_league,rush_yards,rush_yards_allowed,cum_rush_yards_sum,cum_rush_yards_allowed_sum,cum_rush_yards_per_game,cum_rush_yards_allowed_per_game,cum_rush_yards_per_game_rank_vs_league,cum_rush_yards_per_game_z_vs_league,cum_rush_yards_allowed_per_game_rank_vs_league,cum_rush_yards_allowed_per_game_z_vs_league,pass_yards,pass_yards_allowed,cum_pass_yards_sum,cum_pass_yards_allowed_sum,cum_pass_yards_per_game,cum_pass_yards_allowed_per_game,cum_pass_yards_per_game_rank_vs_league,cum_pass_yards_per_game_z_vs_league,cum_pass_yards_allowed_per_game_rank_vs_league,cum_pass_yards_allowed_per_game_z_vs_league,total_off_epa,total_def_epa,cum_total_off_epa_sum,cum_total_def_epa_sum,cum_total_off_epa_per_game,cum_total_def_epa_per_game,cum_total_off_epa_per_game_rank_vs_league,cum_total_off_epa_per_game_z_vs_league,cum_total_def_epa_per_game_rank_vs_league,cum_total_def_epa_per_game_z_vs_league,rush_off_epa,rush_def_epa,cum_rush_off_epa_sum,cum_rush_def_epa_sum,cum_rush_off_epa_per_game,cum_rush_def_epa_per_game,cum_rush_off_epa_per_game_rank_vs_league,cum_rush_off_epa_per_game_z_vs_league,cum_rush_def_epa_per_game_rank_vs_league,cum_rush_def_epa_per_game_z_vs_league,pass_off_epa,pass_def_epa,cum_pass_off_epa_sum,cum_pass_def_epa_sum,cum_pass_off_epa_per_game,cum_pass_def_epa_per_game,cum_pass_off_epa_per_game_rank_vs_league,cum_pass_off_epa_per_game_z_vs_league,cum_pass_def_epa_per_game_rank_vs_league,cum_pass_def_epa_per_game_z_vs_league,rz_drives,rz_td_drives,rz_td_pct,cum_rz_off_td_drives,cum_rz_off_drives,cum_rz_off_td_pct,cum_rz_off_td_pct_rank_vs_league,cum_rz_off_td_pct_z_vs_league,rz_drives_allowed,rz_td_drives_allowed,rz_td_pct_allowed,cum_rz_def_td_drives,cum_rz_def_drives,cum_rz_def_td_pct_allowed,cum_rz_def_td_pct_allowed_rank_vs_league,cum_rz_def_td_pct_allowed_z_vs_league,sacks_allowed,qb_hits_allowed,pressures_allowed,cum_sacks_allowed_sum,cum_qb_hits_allowed_sum,cum_pressures_allowed_sum,cum_sacks_allowed_per_game,cum_qb_hits_allowed_per_game,cum_pressures_allowed_per_game,cum_sacks_allowed_per_game_rank_vs_league,cum_sacks_allowed_per_game_z_vs_league,cum_qb_hits_allowed_per_game_rank_vs_league,cum_qb_hits_allowed_per_game_z_vs_league,cum_pressures_allowed_per_game_rank_vs_league,cum_pressures_allowed_per_game_z_vs_league,sacks_caused,qb_hits_caused,pressures_caused,cum_sacks_caused_sum,cum_qb_hits_caused_sum,cum_pressures_caused_sum,cum_sacks_caused_per_game,cum_qb_hits_caused_per_game,cum_pressures_caused_per_game,cum_sacks_caused_per_game_rank_vs_league,cum_sacks_caused_per_game_z_vs_league,cum_qb_hits_caused_per_game_rank_vs_league,cum_qb_hits_caused_per_game_z_vs_league,cum_pressures_caused_per_game_rank_vs_league,cum_pressures_caused_per_game_z_vs_league,rush_attempts,pass_attempts,total_tds,phi_srs_week,opp_srs_week,expected_mov_srs,quality_of_win_srs,home_team,away_team,home_score,away_score,loss,cumulative_losses,cumulative_turnover_differential,rush_tds,pass_tds,cum_win_pts
2020,2020_01_PHI_WAS,1,FALSE,WAS,32,17,27,-10,FALSE,17,27,-10,0,0,0,17,-1,3,0,-3,-3,-3,30,-1.648326767,265,239,265,239,265,239,29,-1.325385639,1,-1.704327513,57,80,57,80,57,80,30,-1.526597628,5,-0.94322491,208,159,208,159,208,159,21,-0.486934951,3,-1.262863817,-20.49086822,-13.85835923,-20.49086822,-13.85835923,-20.49086822,-13.85835923,32,-1.935530555,5,-1.337545106,-0.053818383,-0.288882272,-0.914912517,-10.39976181,-0.914912517,-10.39976181,14,0.076192374,3,-1.45488731,-0.391519114,-0.101723453,-19.5759557,-3.458597417,-19.5759557,-3.458597417,32,-2.366971041,9,-0.628152086,3,2,0.666666667,2,3,0.666666667,14,0.064620324,5,3,0.6,3,5,0.6,12,-0.251772082,8,13,21,8,13,21,8,13,21,32,3.876494665,32,3.250318547,32,3.783179093,3,8,11,3,8,11,3,8,11,4,0.577350269,3,1.170114677,3,1.019212632,17,50,2,0,0,0,-10,WAS,PHI,27,17,TRUE,1,-3,0,2,0
2020,2020_02_LA_PHI,2,TRUE,LA,32,19,37,-18,FALSE,36,64,-28,0,0,0,22,-1.206045378,4,0,-4,-7,-3.5,32,-2.857738033,363,449,628,688,314,344,28,-1.009188519,9,-0.5368568,121,191,178,271,89,135.5,29,-1.017920537,22,0.361550424,242,258,450,417,225,208.5,23,-0.524688377,5,-0.785411746,-6.483222755,25.73951818,-26.97409097,11.88115895,-13.48704549,5.940579476,32,-1.900057132,19,0.418866932,0.104541182,0.116479601,1.907699388,-5.857057352,0.953849694,-2.928528676,10,0.446560503,11,-0.571758302,-0.21641476,0.757029062,-28.88179036,17.7382163,-14.44089518,8.869108152,32,-2.276266826,24,0.801022063,4,2,0.5,4,7,0.571428571,22,-0.505490167,6,5,0.833333333,8,11,0.727272727,21,0.526775738,0,3,3,8,16,24,4,8,12,31,1.875854059,27,1.252597863,30,1.578691546,1,3,4,4,11,15,2,5.5,7.5,16,-0.153292839,12,0.05037275,17,-0.024741866,27,43,2,-13.49999887,1.500001038,-14.99999991,-3.000000094,PHI,LA,19,37,TRUE,2,-7,2,0,0
2020,2020_03_CIN_PHI,3,TRUE,CIN,32,23,23,0,FALSE,59,87,-28,0,0,0.166666667,25,-0.949425327,2,0,-2,-9,-3,32,-2.598076211,378,304,1006,992,335.3333333,330.6666667,24,-0.618708738,5,-0.769808453,172,48,350,319,116.6666667,106.3333333,17,-0.149418435,9,-0.489239867,206,256,656,673,218.6666667,224.3333333,24,-0.647294167,7,-0.485115788,-3.345439883,-0.095183031,-30.31953086,11.78597592,-10.10651029,3.928658641,29,-1.556175025,18,0.248366293,0.140450014,-0.214092728,6.9638999,-9.710726458,2.321299967,-3.236908819,7,0.929946524,9,-0.715193288,-0.168032808,0.072278578,-37.28343076,21.49670238,-12.42781025,7.16556746,32,-2.152894539,24,0.726182638,3,2,0.666666667,6,10,0.6,20,-0.321197559,4,2,0.5,10,15,0.666666667,16,0.110013359,3,5,8,11,21,32,3.666666667,7,10.66666667,29,1.293036355,25,0.611531748,27,0.892934379,8,17,25,12,28,40,4,9.333333333,13.33333333,3,1.642829676,2,1.983699382,2,2.027920635,36,50,2,-18.62342308,-13.75600744,-4.86741564,4.86741564,PHI,CIN,23,23,TRUE,3,-9,1,1,0.5
2020,2020_04_PHI_SF,4,FALSE,SF,30,25,20,5,TRUE,84,107,-23,1,0.25,0.375,17,-0.322329186,1,3,2,-7,-1.75,29,-1.781553686,269,417,1275,1409,318.75,352.25,26,-1.051101219,9,-0.392751119,93,116,443,435,110.75,108.75,17,-0.291309939,11,-0.414355611,176,301,832,974,208,243.5,25,-0.899809496,16,-0.146652241,-4.540927149,-6.064133828,-34.86045801,5.721842094,-8.715114501,1.430460524,27,-1.589115009,12,-0.28543791,-0.085409005,0.172856059,4.572447767,-6.253605285,1.143111942,-1.563401321,7,0.517480702,12,-0.400089384,-0.067171094,-0.186691275,-39.43290577,11.97544738,-9.858226443,2.993861845,29,-1.904279369,13,-0.100121772,3,2,0.666666667,8,13,0.615384615,20,-0.157842268,4,3,0.75,13,19,0.684210526,19,0.34996885,3,9,12,14,30,44,3.5,7.5,11,27,1.313032224,26,0.928366582,26,1.102200675,5,14,19,17,42,59,4.25,10.5,14.75,1,2.541612976,1,3.652063355,1,3.621145457,28,32,2,-8.241675072,-0.795707015,-7.445968057,12.44596806,SF,PHI,20,25,FALSE,3,-7,1,1,1.5
2020,2020_05_PHI_PIT,5,FALSE,PIT,28,29,38,-9,FALSE,113,145,-32,1,0.2,0.3,19,-0.672240713,2,1,-1,-8,-1.6,27,-1.763314018,338,367,1613,1776,322.6,355.2,25,-0.995734368,11,-0.271925561,94,136,537,571,107.4,114.2,16,-0.392473076,15,-0.123115658,244,231,1076,1205,215.2,241,23,-0.818027185,15,-0.23590087,8.313934462,14.02853376,-26.54652354,19.75037586,-5.309304709,3.950075171,25,-1.257278955,16,0.256348803,0.11780017,0.02740368,6.457250493,-5.376687525,1.291450099,-1.075337505,5,0.854083537,13,-0.169271115,0.153074565,0.375760457,-33.00377404,25.12706338,-6.600754807,5.025412677,26,-1.671240189,18,0.36974597,4,4,1,12,17,0.705882353,10,0.378143501,5,5,1,18,24,0.75,23,0.983372863,5,10,15,19,40,59,3.8,8,11.8,26,1.530659198,26,1.222605196,26,1.383288138,1,2,3,18,44,62,3.6,8.8,12.4,3,1.363729165,3,1.799750974,2,1.752528852,16,42,4,-10.05742675,0.227657566,-10.28508432,1.285084321,PIT,PHI,38,29,TRUE,4,-8,2,2,1.5
2020,2020_06_BAL_PHI,6,TRUE,BAL,28,28,30,-2,FALSE,141,175,-34,1,0.166666667,0.25,20,-0.872941298,1,0,-1,-9,-1.5,26,-1.907241346,368,355,1981,2131,330.1666667,355.1666667,23,-0.692050993,16,-0.101182087,194,182,731,753,121.8333333,125.5,12,0.066074401,17,0.198244274,174,173,1250,1378,208.3333333,229.6666667,21,-0.801939285,12,-0.318415963,-6.676848232,2.102638994,-33.22337178,21.85301485,-5.537228629,3.642169142,24,-1.141100549,15,0.27634463,-0.065128513,0.004964844,5.154680241,-5.192988303,0.859113373,-0.86549805,6,0.511206652,14,-0.177049027,-0.111964125,0.063964659,-38.37805202,27.04600315,-6.396342003,4.507667192,25,-1.446539085,19,0.447462235,5,3,0.6,15,22,0.681818182,13,0.384101901,5,3,0.6,21,29,0.724137931,24,0.768208461,6,17,23,25,57,82,4.166666667,9.5,13.66666667,28,2.151534489,28,2.053402035,28,2.171273478,3,3,6,21,47,68,3.5,7.833333333,11.33333333,4,1.302421837,3,1.272014699,3,1.344230608,20,48,4,-5.952794734,9.064017304,-15.01681204,13.01681204,PHI,BAL,28,30,TRUE,5,-9,2,2,1.5
2020,2020_07_NYG_PHI,7,TRUE,NYG,28,22,21,1,TRUE,163,196,-33,2,0.285714286,0.357142857,17,-0.529588043,1,3,2,-7,-1,26,-1.366050821,442,325,2423,2456,346.1428571,350.8571429,22,-0.488777433,9,-0.35789425,96,160,827,913,118.1428571,130.4285714,13,0.010758722,20,0.468273189,346,165,1596,1543,228,220.4285714,21,-0.550454338,6,-0.71714886,-0.350613806,-2.916316512,-33.57398558,18.93669834,-4.796283655,2.70524262,23,-1.063426005,11,-0.036520392,-0.213113745,0.026111089,-0.599390874,-4.618544353,-0.085627268,-0.65979205,9,0.285216464,13,-0.064226177,0.114967177,-0.10578062,-32.97459471,23.55524269,-4.710656387,3.36503467,23,-1.242862846,13,-0.01258556,8,3,0.375,18,30,0.6,20,-0.425364552,3,3,1,24,32,0.75,23,1.019805584,3,10,13,28,67,95,4,9.571428571,13.57142857,27,1.943489354,28,2.157644069,28,2.170183515,3,8,11,24,55,79,3.428571429,7.857142857,11.28571429,3,1.42184126,2,1.747234261,2,1.723048172,27,47,3,-3.852854093,-8.092346384,4.239492291,-3.239492291,PHI,NYG,22,21,FALSE,5,-7,1,2,2.5
2020,2020_08_DAL_PHI,8,TRUE,DAL,28,23,9,14,TRUE,186,205,-19,3,0.375,0.4375,17,-0.375795533,4,2,-2,-9,-1.125,26,-1.673530626,224,265,2647,2721,330.875,340.125,23,-0.865711973,8,-0.501560566,119,133,946,1046,118.25,130.75,14,-0.125503746,23,0.691927357,105,132,1701,1675,212.625,209.375,23,-0.833690389,4,-0.967483905,-18.179282,-27.01977847,-51.75326758,-8.083080127,-6.469158447,-1.010385016,26,-1.39135073,11,-0.498337521,-0.124069223,-0.055611975,-3.949259883,-6.56496349,-0.493657485,-0.820620436,12,0.085172935,16,-0.074860803,-0.449376151,-0.569849076,-47.80400769,-1.518116637,-5.975500962,-0.18976458,26,-1.548944204,10,-0.538521539,3,2,0.666666667,20,33,0.606060606,17,-0.260789754,2,0,0,24,34,0.705882353,19,0.499630133,4,6,10,32,73,105,4,9.125,13.125,28,2.408453333,28,2.300326165,28,2.406970694,4,7,11,28,62,90,3.5,7.75,11.25,2,1.532844027,3,1.383716896,3,1.497586729,27,33,2,-2.271101287,-11.04574416,8.774642876,5.225357124,PHI,DAL,23,9,FALSE,5,-9,0,2,3.5
2020,2020_10_PHI_NYG,10,FALSE,NYG,28,17,27,-10,FALSE,203,232,-29,3,0.333333333,0.388888889,20,-0.610918466,0,0,0,-9,-1,27,-1.933676576,348,382,2995,3103,332.7777778,344.7777778,24,-0.935691439,11,-0.322461632,158,151,1104,1197,122.6666667,133,10,0.121597054,25,0.867492988,190,231,1891,1906,210.1111111,211.7777778,24,-1.098885757,5,-0.901991206,4.462751397,10.71698121,-47.29051618,2.633901086,-5.254501798,0.292655676,26,-1.61572531,12,-0.261756077,0.395051494,0.097714248,5.531975981,-3.047250549,0.614663998,-0.338583394,9,0.604140988,17,0.195920015,-0.12240206,0.23223446,-52.82249216,5.681151635,-5.869165796,0.631239071,27,-2.01011124,8,-0.422694111,2,2,1,22,35,0.628571429,18,-0.345501072,4,3,0.75,27,38,0.710526316,23,0.870541347,3,12,15,35,85,120,3.888888889,9.444444444,13.33333333,28,2.139687414,28,2.211680786,28,2.275331907,3,7,10,31,69,100,3.444444444,7.666666667,11.11111111,2,1.559730266,3,1.530720055,2,1.638750693,24,41,2,-4.387662792,-5.130085284,0.742422492,-10.74242249,NYG,PHI,27,17,TRUE,6,-9,2,0,3.5
2020,2020_11_PHI_CLE,11,FALSE,CLE,28,17,22,-5,FALSE,220,254,-34,3,0.3,0.35,20,-0.652329407,3,1,-2,-11,-1.1,26,-1.852623054,315,324,3310,3427,331,342.7,24,-0.960804323,8,-0.484614825,106,137,1210,1334,121,133.4,12,0.093688108,22,0.816441459,209,187,2100,2093,210,209.3,25,-1.058471864,5,-1.080756074,-15.51972597,-13.12828788,-62.81024215,-10.4943868,-6.281024215,-1.04943868,26,-1.547717467,9,-0.547025875,-0.237097082,-0.330733473,-0.39545106,-16.27658945,-0.039545106,-1.627658945,9,0.39713776,13,-0.447434779,-0.239807473,0.004042041,-62.41479109,5.782202656,-6.241479109,0.578220266,26,-1.814432377,10,-0.456871106,4,2,0.5,24,39,0.615384615,18,-0.386519684,4,1,0.25,28,42,0.666666667,15,0.159772919,5,10,15,40,95,135,4,9.5,13.5,28,2.325561169,28,2.433781455,28,2.490749825,3,2,5,34,71,105,3.4,7.1,10.5,2,1.599177263,3,1.236716137,3,1.456520357,25,40,3,-4.434964153,-3.266024128,-1.168940025,-3.831059975,CLE,PHI,22,17,TRUE,7,-11,0,3,3.5
